"","school_id","name","school_type","school_type_detail","grade_band","county","locale_code","pvt_pct_nonwhite","enrollment","teacher_fte"
"145","01604646","ST MARY S RYKEN HIGH SCHOOL","private","private","HS","ST. MARY'S","41",26.41,"704","55.6"
"146","01604657","ST AMBROSE CATHOLIC SCHOOL","private","private","ES/MS","PRINCE GEORGE'S","21",89.67,"241","16.3"
"147","01604668","ST ANDREW APOSTLE SCHOOL","private","private","ES/MS","MONTGOMERY","21",43.6,"284","37.6"
"148","01604679","ST BARTHOLOMEWS SCHOOL","private","private","ES/MS","MONTGOMERY","13",21.96,"144","17.8"
"149","01604704","ST BERNADETTE SCHOOL","private","private","ES/MS","MONTGOMERY","21",24.04,"291","24.9"
"150","01604726","ST FRANCIS INTERNATIONAL SCHOOL","private","private","ES/MS","MONTGOMERY","13",90.23,"424","24.4"
"151","01604748","ST COLUMBA CATHOLIC SCHOOL","private","private","ES/MS","PRINCE GEORGE'S","21",64.99,"170","14.1"
"152","01604806","ST JANE DE CHANTAL SCHOOL","private","private","ES/MS","MONTGOMERY","13",28.27,"438","28.9"
"153","01604817","ST JEROME ACADEMY","private","private","ES/MS","PRINCE GEORGE'S","21",43.93,"332","14.6"
"154","01604839","ST JOHN'S ELEMENTARY SCHOOL","private","private","ES/MS","ST. MARY'S","41",12.87,"213","17.4"
"155","01604861","ST JOHN THE EVANGELIST SCHOOL","private","private","ES/MS","PRINCE GEORGE'S","21",NA,"238","13.8"
"156","01604872","ST JOHN THE EVANGELIST SCHOOL","private","private","ES/MS","MONTGOMERY","21",43,"199","15.4"
"157","01604883","ST JOHN THE BAPTIST SCHOOL","private","private","ES/MS","MONTGOMERY","21",30.37,"254","23.1"
"158","01604894","ST JOSEPH'S REGIONAL CATHOLIC SC","private","private","ES/MS","PRINCE GEORGE'S","21",76.73,"195","13.6"
"159","01604908","ST JUDE REGIONAL CATHOLIC SCHOOL","private","private","ES/MS","MONTGOMERY","21",NA,"257","17.5"
"160","01604952","ST MARTIN OF TOURS SCHOOL","private","private","ES/MS","MONTGOMERY","13",70.98,"251","14.3"
"161","01604974","ST MARYS ELEMENTARY SCHOOL","private","private","ES/MS","MONTGOMERY","13",50.87,"216","15.8"
"162","01604985","ST MARY OF THE ASSUMPTION SCHOOL","private","private","ES/MS","PRINCE GEORGE'S","21",85.69,"251","12.5"
"163","01604996","ST MARY'S SCHOOL","private","private","ES/MS","CHARLES","41",25.65,"257","20.5"
"164","01605016","ST MARY'S SCHOOL","private","private","ES/MS","PRINCE GEORGE'S","21",92.12,"227","12.3"
"165","01605027","THE ACADEMY OF SAINT MATTHIAS THE APOSTLE","private","private","ES/MS","PRINCE GEORGE'S","21",95.75,"158","11.9"
"166","01605038","ST MICHAELS SCHOOL","private","private","ES/MS","ST. MARY'S","42",43.58,"192","10.9"
"167","01605071","ST PETER'S SCHOOL","private","private","ES/MS","MONTGOMERY","21",38.14,"393","29.4"
"168","01605082","ST PETERS ELEMENTARY SCHOOL","private","private","ES/MS","CHARLES","41",55.63,"277","15.9"
"169","01605093","ST PIUS X SCHOOL","private","private","ES/MS","PRINCE GEORGE'S","21",50.49,"519","28.9"
"170","01605118","STONE RIDGE SCHOOL OF THE SACRED HEART","private","private","All Grades","MONTGOMERY","13",27.39,"720","98.8"
"171","01605231","LITTLE FLOWER SCHOOL","private","private","ES/MS","MONTGOMERY","13",19.32,"256","19.3"
"172","01613945","CHESTERTOWN CHRISTIAN ACADEMY","private","private","All Grades","KENT","32",1.73,"115","10.3"
"173","01613967","LANHAM CHRISTIAN SCHOOL","private","private","All Grades","PRINCE GEORGE'S","21",96.66,"193","16.3"
"174","01621413","ST ANDREW'S EPISCOPAL SCHOOL","private","private","All Grades","MONTGOMERY","21",39.43,"554","75.8"
"175","01650488","ST JAMES & JOHN SCHOOL","private","private","ES/MS","BALTIMORE","11",99.43,"219","11"
"176","01651153","HARFORD DAY SCHOOL","private","private","ES/MS","HARFORD","22",NA,"279","37"
"177","01651164","ST JOHN'S CATHOLIC PREP","private","private","HS","FREDERICK","41",21.18,"302","28.4"
"178","01651186","LEONARD HALL JR NAVAL ACADEMY","private","private","MS/HS","ST. MARY'S","31",13.78,"29","6.6"
"179","01651244","INDEPENDENT BAPTIST ACADEMY","private","private","All Grades","PRINCE GEORGE'S","21",61.89,"67","4"
"180","01933921","BOOK OF LIFE ACADEMY","private","private","ES","ANNE ARUNDEL","21",92.5,"86","4.3"
"181","01933943","CALVARY BAPTIST CHURCH ACADEMY","private","private","All Grades","ANNE ARUNDEL","21",45.14,"296","14.6"
"182","01933954","GRANITE BAPTIST SCHOOL","private","private","All Grades","ANNE ARUNDEL","21",29.27,"273","18.3"
"183","01933976","ODENTON CHRISTIAN SCHOOL","private","private","All Grades","ANNE ARUNDEL","21",79,"146","18.4"
"184","01934029","LIBERTY CHRISTIAN SCHOOL","private","private","ES/MS","BALTIMORE","41",84.1,"179","16.6"
"185","01934095","THE CALVERTON SCHOOL","private","private","All Grades","CALVERT","41",27.92,"259","32.6"
"186","01934153","FREDERICK CHRISTIAN ACADEMY","private","private","All Grades","FREDERICK","41",42.3,"95","11.3"
"187","01934164","THE BANNER SCHOOL","private","private","ES/MS","FREDERICK","13",27.51,"135","27.6"
"188","02030521","ARNOLD CHRISTIAN ACADEMY","private","private","ES/MS","ANNE ARUNDEL","21",14.28,"42","7.1"
"189","02030543","THE HARBOUR SCHOOL AT ANNAPOLIS","private","private","All Grades","ANNE ARUNDEL","21",50.39,"351","46.8"
"190","02030623","DELREY SCHOOL","private","private","All Grades","BALTIMORE","21",61.9,"21","3"
"191","02030871","VILLA MARIA SCHOOL","private","private","ES/MS","BALTIMORE","41",78.65,"75","15.3"
"192","02030882","KRIEGER SCHECHTER DAY SCHOOL","private","private","ES/MS","BALTIMORE","21",1.37,"290","42.4"
"193","02031048","GATEWAY SCHOOL","private","private","ES","BALTIMORE","11",61.53,"51","5.8"
"194","02031117","BALTIMORE ACTOR'S THEATRE - THE DUMBARTON HOUSE","private","private","All Grades","BALTIMORE","13",37.5,"8","6"
"195","02031208","MARANATHA BAPTIST CHURCH ACADEMY","private","private","All Grades","CECIL","41",28.57,"7","2.9"
"196","02031401","BETHEL CHRISTIAN ACADEMY","private","private","All Grades","HARFORD","41",40,"25","4.3"
"197","02031627","THE WINCHESTER SCHOOL","private","private","ES","MONTGOMERY","21",62.5,"50","5"
"198","02031693","THE KATHERINE THOMAS SCHOOL","private","private","All Grades","MONTGOMERY","21",29.64,"150","43.1"
"199","02032019","FORCEY CHRISTIAN SCHOOL","private","private","ES/MS","MONTGOMERY","21",71.7,"518","38"
"200","02032085","CHELSEA SCHOOL","private","private","MS/HS","PRINCE GEORGE'S","21",82.51,"63","23.5"
"201","02032165","WASHINGTON WALDORF SCHOOL","private","private","All Grades","MONTGOMERY","21",31.76,"295","50.3"
"202","02032245","MATER AMORIS SCHOOL","private","private","ES","MONTGOMERY","41",26.66,"47","3.1"
"203","02032777","BEDDOW SCHOOL - FT WASHINGTON CAMPUS","private","private","UG","PRINCE GEORGE'S","21",66.66,"30","3"
"204","02032799","GRACE CHRISTIAN SCHOOL","private","private","ES/MS","PRINCE GEORGE'S","21",73.55,"261","24.3"
"205","02032981","HOLLY GROVE CHRISTIAN SCHOOL","private","private","All Grades","SOMERSET","42",5.2,"551","35"
"206","02032992","SALISBURY BAPTIST ACADEMY","private","private","All Grades","WICOMICO","41",35.54,"45","5.8"
"207","02188077","THE HEIGHTS SCHOOL","private","private","All Grades","MONTGOMERY","21",10.02,"538","62.1"
"208","240002701669","The Seed School of Maryland","public","public","MS/HS","BALTIMORE CITY","11",NA,"404","44"
"209","240003000001","Allegany High","public","public","HS","ALLEGANY","13",NA,"721","41.75"
"210","240003000003","Beall Elementary","public","public","ES","ALLEGANY","23",NA,"452","29.65"
"211","240003000005","Bel Air Elementary","public","public","ES","ALLEGANY","41",NA,"227","16.5"
"212","240003000006","Braddock Middle","public","public","MS","ALLEGANY","13",NA,"600","38.86"
"213","240003000007","Westmar Middle","public","public","MS","ALLEGANY","41",NA,"273","24.26"
"214","240003000010","Cresaptown Elementary","public","public","ES","ALLEGANY","41",NA,"321","19.1"
"215","240003000014","Flintstone Elementary","public","public","ES","ALLEGANY","42",NA,"226","17.4"
"216","240003000015","Fort Hill High","public","public","HS","ALLEGANY","13",NA,"715","45.5"
"217","240003000016","Frost Elementary","public","public","ES","ALLEGANY","23",NA,"215","14.8"
"218","240003000017","George's Creek Elementary","public","public","ES","ALLEGANY","41",NA,"302","20.1"
"219","240003000019","John Humbird Elementary","public","public","ES","ALLEGANY","13",NA,"273","21.1"
"220","240003000023","Mount Savage Middle","public","public","MS","ALLEGANY","41",NA,"388","29.3"
"221","240003000024","Northeast Elementary","public","public","ES","ALLEGANY","41",NA,"323","16.2"
